
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
E2348C_0005	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0021	1	1	0	0	0	0	sodium-proton antiporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0023	1	1	0	0	0	0	30S ribosomal subunit protein S20"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0032	1	1	0	0	0	0	carbamoyl phosphate synthetase small subunit,	0	0	0	0	0	0	 // Corrected Start	
E2348C_0036	1	1	0	0	0	0	predicted acyl transferase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0061	1	1	0	0	0	0	DNA polymerase II"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0074	1	1	0	0	0	0	thiamin transporter subunit TbpA"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0085	1	1	0	0	0	0	DNA-binding transcriptional dual regulator"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0090	1	1	0	0	0	0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:	0	0	0	0	0	0	 // Corrected Start	
E2348C_0102	1	1	0	0	0	0	regulator of SecA translation"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0121	1	1	0	0	0	0	bifunctional aconitate hydratase	0	0	0	0	0	0	 // Corrected Start	
E2348C_0123	1	1	0	0	0	0	S-adenosylmethionine decarboxylase"	1	1	0	0	0	0	0	
E2348C_0136	1	1	0	0	0	0	pantothenate synthetase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0138	1	0	0	12	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0140	3	0	1	2	0	1	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_0141	1	0	0	1	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0142	1	1	0	0	0	0	predicted outer membrane usher protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0143	1	0	0	18	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0146	1	1	0	0	0	0	poly(A) polymerase I"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0151	1	1	0	0	0	0	predicted ATP-dependent helicase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0154	1	0	0	15	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0160	1	1	0	0	0	0	fused iron-hydroxamate transporter subunits of	0	0	0	0	0	0	 // Corrected Start	
E2348C_0177	1	1	0	0	0	0	ribosome recycling factor"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0179	1	1	0	0	0	0	undecaprenyl pyrophosphate synthase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0180	1	1	0	0	0	0	CDP-diglyceride synthase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0183	1	1	0	0	0	0	periplasmic chaperone"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0185	1	1	0	0	0	0	(3R)-hydroxymyristol acyl carrier protein	0	0	0	0	0	0	 // Corrected Start	
E2348C_0186	1	1	0	0	0	0	UDP-N-acetylglucosamine acetyltransferase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0195	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_0206	1	1	0	0	0	0	D,D-heptose 1,7-bisphosphate phosphatase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0209	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0216	1	1	0	0	0	0	predicted C-N hydrolase family amidase,	0	0	0	0	0	0	 // Corrected Start	
E2348C_0224	1	0	0	1	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0225	1	1	0	0	0	0	flagellar system protein MbhA"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0230	1	1	0	0	0	0	aminoacyl-histidine dipeptidase (peptidase D)"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0238	1	1	0	0	0	0	transposase Orf1 of IS3 family IS element"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0239	3	1	1	3	0	0	Not Set	1	1	0	2	0	0	 // Modell shifted 2 base(s) // Corrected Stop	
E2348C_0241	2	1	1	0	0	0	Not Set	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start // Corrected Stop	
E2348C_0242	3	1	1	1	0	0	Not Set	0	0	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Start // Corrected Stop	
E2348C_0250	1	1	0	0	0	0	predicted regulator"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0252	3	0	1	4	0	1	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_0263	1	1	0	0	0	0	predicted reductase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0268	1	1	0	0	0	0	predicted oxidoreductase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0273	1	1	0	0	0	0	choline dehydrogenase, flavoprotein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0281	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0287	1	0	0	26	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0295	1	1	0	0	0	0	cytosine transporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0296	1	1	0	0	0	0	cytosine deaminase CodA"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0300	1	1	0	0	0	0	DNA-binding transcriptional repressor"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0310	1	0	0	70	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0312	1	1	0	0	0	0	beta-lactamase/D-alanine carboxypeptidase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0314	1	0	0	8	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0319	1	1	0	0	0	0	bacterial alkaline phosphatase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0328	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_0330	1	1	0	0	0	0	manno (fructo) kinase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0335	1	1	0	0	0	0	sensory histidine kinase in two-component	0	0	0	0	0	0	 // Corrected Start	
E2348C_0343	1	1	0	0	0	0	SecYEG protein translocase auxillary subunit	0	0	0	0	0	0	 // Corrected Start	
E2348C_0344	1	1	0	0	0	0	SecYEG protein translocase auxillary subunit	0	0	0	0	0	0	 // Corrected Start	
E2348C_0349	1	1	0	0	0	0	fused diaminohydroxyphosphoribosylaminopyrimidine	0	0	0	0	0	0	 // Corrected Start	
E2348C_0351	1	1	0	0	0	0	transcription antitermination protein NusB"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0375	1	1	0	0	0	0	HU, DNA-binding transcriptional regulator, beta	1	1	0	0	0	0	0	
E2348C_0383	1	1	0	0	0	0	fused predicted multidrug transporter subunits of	0	0	0	0	0	0	 // Corrected Start	
E2348C_0392	1	1	0	0	0	0	conserved inner membrane protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0394	1	0	0	7	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0402	1	1	0	0	0	0	primosomal replication protein N''"	1	1	0	0	0	0	0	
E2348C_0423	2	1	0	5	0	0	Not Set	1	1	0	0	0	0	0	
E2348C_0457	1	1	0	0	0	0	UDP-2,3-diacylglucosamine pyrophosphatase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0463	2	1	0	12	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
E2348C_0464	2	1	1	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
E2348C_0469	1	1	0	0	0	0	bacteriophage N4 receptor, inner membrane subunit	0	0	0	0	0	0	 // Corrected Start	
E2348C_0476	1	1	0	0	0	0	phenylalanine transporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0489	1	0	0	1	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0494	1	1	0	0	0	0	iron-enterobactin transporter subunit"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0525	1	1	0	0	0	0	predicted inner membrane protein associated with	0	0	0	0	0	0	 // Corrected Start	
E2348C_0529	2	1	1	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
E2348C_0530	1	1	0	0	0	0	lipoyl-protein ligase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0536	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0537	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0541	1	1	0	0	0	0	minor lipoprotein RlpB"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0567	1	1	0	0	0	0	predicted alcohol dehydrogenase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0569	1	1	0	0	0	0	4-hydroxythreonine-4-phosphate dehydrogenase 2"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0583	1	1	0	0	0	0	DNA-binding response regulator in two-component	0	0	0	0	0	0	 // Corrected Start	
E2348C_0588	1	1	0	0	0	0	potassium ion accessory transporter subunit"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
E2348C_0594	1	1	0	0	0	0	predicted carboxylase subunit"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0599	3	1	1	1	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
E2348C_0610	1	0	1	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_0620	1	1	0	0	0	0	predicted acyl-CoA thioesterase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0621	1	1	0	0	0	0	membrane spanning protein TolQ in TolA-TolQ-TolR	0	0	0	0	0	0	 // Corrected Start	
E2348C_0623	1	1	0	0	0	0	membrane anchored protein TolA in TolA-TolQ-TolR	0	0	0	0	0	0	 // Corrected Start	
E2348C_0633	1	1	0	0	0	0	galactose-1-epimerase (mutarotase)"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0649	1	1	0	0	0	0	predicted pectin esterase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0657	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
E2348C_0658	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0659	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_0666	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0671	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0679	1	1	0	0	0	0	NinF"	1	1	0	0	0	0	0	
E2348C_0680	1	1	0	0	0	0	predicted endonuclease"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0687	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0693	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0695	1	1	0	0	0	0	predicted terminase small subunit"	1	1	0	0	0	0	0	
E2348C_0699	1	1	0	0	0	0	predicted head protein/prohead protease"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0720	2	0	1	0	0	1	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_0730	1	1	0	0	0	0	dethiobiotin synthetase BioD"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0747	1	1	0	0	0	0	predicted membrane fusion protein (MFP) component	0	0	0	0	0	0	 // Corrected Start	
E2348C_0750	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
E2348C_0761	1	1	0	0	0	0	glutamine transporter subunit"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0772	1	1	0	0	0	0	fused predicted transporter subunits of ABC	0	0	0	0	0	0	 // Corrected Start	
E2348C_0780	1	1	0	0	0	0	fused predicted peptide transport subunits of ABC	0	0	0	0	0	0	 // Corrected Start	
E2348C_0799	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0815	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0827	1	1	0	0	0	0	predicted tail protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0828	2	1	1	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
E2348C_0839	1	1	0	0	0	0	predicted tail protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0844	1	1	0	0	0	0	predicted transporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0845	1	1	0	0	0	0	predicted inner membrane protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0849	1	1	0	0	0	0	ribosomal protein S6 modification protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0852	1	1	0	0	0	0	putrescine transporter subunit PotG: ATP-binding	0	0	0	0	0	0	 // Corrected Start	
E2348C_0866	1	1	0	0	0	0	conserved protein with NAD(P)-binding	0	0	0	0	0	0	 // Corrected Start	
E2348C_0886	1	1	0	0	0	0	DNA-binding membrane protein FtsK required for	0	0	0	0	0	0	 // Corrected Start	
E2348C_0888	1	1	0	0	0	0	recombination protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0890	1	0	0	1	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_0893	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Start	
E2348C_0897	1	1	0	0	0	0	formate transporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0933	1	1	0	0	0	0	predicted 2Fe-2S cluster-containing protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0941	1	1	0	0	0	0	predicted peptidase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0971	1	1	0	0	0	0	predicted outer membrane lipoprotein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0973	1	1	0	0	0	0	stress protein, member of the CspA-family"	0	0	0	0	0	0	 // Corrected Start	
E2348C_0976	1	1	0	0	0	0	predicted regulator of phosphatidylethanolamine	1	1	0	0	0	0	0	
E2348C_0978	1	1	0	0	0	0	hybrid sensory histidine kinase in two-component	0	0	0	0	0	0	 // Corrected Start	
E2348C_0983	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1002	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_1006	1	1	0	0	0	0	NinF"	1	1	0	0	0	0	0	
E2348C_1013	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1031	1	0	0	18	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_1036	3	0	1	45	0	1	Not Set	0	0	0	8	0	0	 // Corrected Stop	
E2348C_1043	1	1	0	0	0	0	Not Set	1	1	0	0	0	0	0	
E2348C_1076	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start	
E2348C_1078	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1081	1	0	0	18	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_1082	3	0	1	20	0	1	Not Set	0	0	0	7	0	0	 // Corrected Stop	
E2348C_1083	3	1	1	7	0	0	Not Set	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start // Corrected Stop	
E2348C_1086	1	1	0	0	0	0	transposase Orf2 of IS629"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1087	4	1	1	2	0	1	Not Set	0	0	0	1	0	0	 // Corrected Start // Corrected Stop	
E2348C_1091	1	1	0	0	0	0	predicted type I site-specific deoxyribonuclease,	0	0	0	0	0	0	 // Corrected Start	
E2348C_1092	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1104	3	0	1	13	0	1	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_1105	1	1	0	0	0	0	transposase Orf2 of IS629"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1107	2	0	1	0	0	1	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_1108	1	0	0	6	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_1111	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1118	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_1137	1	1	0	0	0	0	predicted hydrolase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1154	1	1	0	0	0	0	glutaredoxin 2 (Grx2)"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1158	1	1	0	0	0	0	predicted oxidoreductase with NAD(P)-binding	0	0	0	0	0	0	 // Corrected Start	
E2348C_1170	1	1	0	0	0	0	predicted flagellar basal body protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1177	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_1187	1	1	0	0	0	0	3-oxoacyl-[acyl-carrier-protein] synthase II"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1195	1	1	0	0	0	0	purine nucleoside phosphoramidase"	1	1	0	0	0	0	0	
E2348C_1198	1	1	0	0	0	0	thiamin kinase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1199	1	1	0	0	0	0	beta N-acetyl-glucosaminidase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1201	1	1	0	0	0	0	respiratory NADH dehydrogenase 2/cupricreductase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1202	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1205	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1266	1	0	1	0	0	0	polyamine transporter subunit"	0	0	0	0	0	0	 // Corrected Stop	
E2348C_1273	1	1	0	0	0	0	predicted lysogenization regulator"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1279	1	1	0	0	0	0	predicted DNA-binding transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1285	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
E2348C_1287	1	0	0	20	0	0	Not Set	0	0	0	0	0	0	0	
E2348C_1289	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1291	1	1	0	0	0	0	coserved predicted protein"	1	1	0	0	0	0	0	
E2348C_1301	1	1	0	0	0	0	Not Set	1	1	0	0	0	0	0	
E2348C_1310	1	1	0	0	0	0	predicted cation/proton antiporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1312	1	1	0	0	0	0	lytic murein endotransglycosylase E"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1313	1	1	0	0	0	0	protein involved in flagellar function"	1	1	0	0	0	0	0	
E2348C_1318	1	1	0	0	0	0	predicted ferric enterobactin transport	0	0	0	0	0	0	 // Corrected Start	
E2348C_1327	1	1	0	0	0	0	peptidyl-tRNA hydrolase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1329	1	1	0	0	0	0	predicted transporter"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1330	1	1	0	0	0	0	phosphoribosylpyrophosphate synthase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1342	1	1	0	0	0	0	regulatory protein for cation transport"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1344	1	1	0	0	0	0	predicted invasin"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1352	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1353	1	1	0	0	0	0	predicted dehydrogenase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1360	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1361	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1366	3	0	1	16	0	1	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_1368	1	1	0	0	0	0	predicted inner membrane protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1377	1	1	0	0	0	0	voltage-gated potassium channel"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1378	1	1	0	0	0	0	predicted enzyme"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1396	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1405	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1413	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1414	1	1	0	0	0	0	predicted protein"	1	1	0	0	0	0	0	
E2348C_1420	1	1	0	0	0	0	predicted terminase small subunit"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1422	1	1	0	0	0	0	predicted head protein/prohead protease"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1433	1	1	0	0	0	0	predicted minor tail protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1446	3	1	1	7	0	0	Not Set	0	0	0	1	0	0	 // Modell shifted 2 base(s) // Corrected Start // Corrected Stop	
E2348C_1447	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
E2348C_1456	1	1	0	0	0	0	predicted protein"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1462	1	1	0	0	0	0	predicted inner membrane peptidase"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1471	1	1	0	0	0	0	conserved inner membrane protein"	1	1	0	0	0	0	0	
E2348C_1478	1	1	0	0	0	0	modulator of Rnase II stability"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1507	1	1	0	0	0	0	predicted oxidoreductase, NADH-binding"	0	0	0	0	0	0	 // Corrected Start	
E2348C_1508	1	0	1	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Stop	
E2348C_1530	1	1	0	0	0	0	predicted multidrug resistance efflux pump, HlyD	0	0	0	0	0	0	 // Corrected Start	
